# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
a er bi en 	阿尔比恩	c=1 d=1 t=22810
a hua 	阿华	c=0 d=0.1 t=27019
a li 	阿里	c=2 d=1.00625 t=28248
a li yun 	阿里云	c=11 d=1 t=41534
a mao a gou 	阿猫阿狗	c=1 d=1 t=32779
a yi 	阿姨	c=2 d=1 t=36107
ai 	哎	c=7 d=1.00002 t=32790
ai 	挨	c=1 d=1 t=15046
ai 	爱	c=2 d=1 t=33789
ai 	艾	c=1 d=1 t=31894
ai feng 	爱疯	c=2 d=1.83527 t=29510
ai ge 	哀歌	c=1 d=1 t=11726
ai ge 	挨个	c=2 d=1 t=20917
ai kang te 	艾康特	c=1 d=1 t=31421
ai ma 	挨骂	c=1 d=1 t=41416
ai ma shi 	爱马仕	c=1 d=1 t=19274
ai qing 	爱情	c=1 d=1 t=13363
ai you 	哎哟	c=1 d=1 t=18938
ai you wo cao 	哎哟我草	c=1 d=1 t=13887
ai zhe 	挨着	c=1 d=1 t=36193
an 	按	c=8 d=1.00237 t=35872
an fang 	安防	c=1 d=1 t=24077
an hei 	暗黑	c=1 d=1 t=40507
an ju ke 	安居客	c=2 d=1.0773 t=23855
an niu 	按钮	c=1 d=1 t=15484
an pai 	安排	c=2 d=1 t=13557
an qi 	按期	c=1 d=1 t=33461
an quan 	安全	c=7 d=1 t=41240
an shi da 	安师大	c=1 d=1 t=36966
an xi jiao lian 	安西教练	c=1 d=1 t=5388
an yue 	按月	c=1 d=1 t=22478
an zhao 	按照	c=22 d=1 t=37583
an zhuang 	安装	c=9 d=2.57342 t=38478
an zhuang yi xia 	安装一下	c=1 d=1 t=36646
an zhuo 	安卓	c=12 d=2.91683 t=31652
ang 	昂	c=1 d=1 t=692
ao men 	澳门	c=1 d=1 t=10566
ao te man 	奥特曼	c=1 d=1 t=8589
ba 	吧	c=259 d=2.02743 t=42064
ba 	把	c=115 d=1.03334 t=41944
ba 	爸	c=4 d=1 t=33741
ba ba 	爸爸	c=5 d=1 t=34422
ba huang 	八荒	c=1 d=1 t=33933
ba la ba la 	巴啦巴啦	c=1 d=1 t=13432
ba le 	罢了	c=1 d=1 t=22434
ba li dao 	巴厘岛	c=1 d=1 t=15116
ba ma 	爸妈	c=1 d=1 t=39446
ba qi 	霸气	c=1 d=1 t=17984
ba tai 	吧台	c=1 d=1 t=27615
ba wang 	霸王	c=1 d=1 t=30981
ba zhe ge 	把这个	c=1 d=1 t=28579
ba zi 	八字	c=1 d=1 t=34500
bai 	掰	c=1 d=1 t=13376
bai 	白	c=2 d=1 t=27970
bai 	百	c=1 d=1 t=34020
bai bai 	拜拜	c=1 d=1 t=5441
bai ban 	白板	c=1 d=1 t=40108
bai bao xiang 	百宝箱	c=2 d=1.94649 t=3154
bai che 	白车	c=3 d=2.58657 t=5023
bai da 	百大	c=7 d=5.67472 t=2297
bai du 	百度	c=3 d=1 t=30961
bai fei 	白肺	c=2 d=1.86936 t=16979
bai gui 	百鬼	c=0 d=0.1 t=30662
bai gui zi 	百鬼字	c=1 d=1 t=30663
bai hu zi 	白胡子	c=1 d=1 t=18002
bai huo 	白活	c=1 d=1 t=28280
bai jin 	白金	c=2 d=1.98511 t=22697
bai kai shui 	白开水	c=1 d=1 t=41728
bai ke 	百科	c=1 d=1 t=30962
bai ming dan 	白名单	c=2 d=1.90484 t=19877
bai qi lin 	白麒麟	c=1 d=1 t=38771
bai shan yun 	白山云	c=1 d=1 t=16842
bai sheng 	百胜	c=13 d=1.82284 t=35957
bai tian 	白天	c=5 d=1 t=36799
bai yao 	白药	c=1 d=1 t=2472
ban 	办	c=10 d=1.63129 t=41961
ban 	半	c=1 d=1 t=16983
ban 	搬	c=8 d=1 t=40733
ban 	班	c=10 d=2.28074 t=26516
ban ben 	版本	c=19 d=1.65051 t=38944
ban ben long yi 	坂本龙一	c=1 d=1 t=23786
ban che 	班车	c=1 d=1 t=9824
ban de 	办的	c=1 d=1 t=40875
ban de dong 	搬得动	c=1 d=1 t=14201
ban fa 	办法	c=12 d=1.7954 t=37270
ban fa 	颁发	c=0 d=0.1 t=5868
ban fa gei 	颁发给	c=1 d=1 t=5869
ban ge 	办个	c=1 d=1 t=1741
ban ge 	半个	c=1 d=1 t=4783
ban gong shi 	办公室	c=4 d=1 t=23027
ban guo lai 	搬过来	c=1 d=1 t=30255
ban hui qu 	搬回去	c=1 d=1 t=38293
ban ji 	班级	c=1 d=1 t=3374
ban jia 	搬家	c=17 d=2.40486 t=41289
ban ju hua 	半句话	c=1 d=1 t=5226
ban ka 	办卡	c=1 d=1 t=18232
ban le 	办了	c=2 d=1 t=17363
ban le 	搬了	c=1 d=1 t=6118
ban li 	办理	c=3 d=1.00228 t=41827
ban li 	班里	c=3 d=1.09027 t=8971
ban nian 	半年	c=4 d=1 t=30201
ban nian jiao 	半年交	c=1 d=1 t=1373
ban quan 	版权	c=3 d=1.92774 t=32494
ban shan 	半山	c=1 d=1 t=22968
ban shou 	扳手	c=1 d=1 t=14448
ban tian 	半天	c=4 d=1 t=41751
ban yan 	扮演	c=1 d=1 t=7909
ban yun 	搬运	c=1 d=1 t=32763
ban zhu ren 	班主任	c=1 d=1 t=26591
ban zhuan 	搬砖	c=1 d=1 t=40357
ban zhuan 	板砖	c=1 d=1 t=40356
ban zou 	搬走	c=5 d=1 t=39427
bang 	帮	c=2 d=1 t=13462
bang bie ren 	帮别人	c=1 d=1 t=7144
bang ding 	绑定	c=7 d=1.0008 t=34756
bang hao 	绑好	c=0 d=0.1 t=21785
bang hao le 	绑好了	c=1 d=1 t=21786
bang mang 	帮忙	c=15 d=1 t=32542
bang ni 	帮你	c=9 d=1 t=39222
bang wo 	帮我	c=28 d=1.00364 t=41742
bang wo men 	帮我们	c=1 d=1 t=3094
bao 	保	c=1 d=1 t=30452
bao 	包	c=15 d=1 t=40973
bao 	报	c=2 d=1 t=23727
bao an 	保安	c=1 d=1 t=29506
bao bei 	宝贝	c=1 d=1 t=8087
bao biao 	报表	c=1 d=1 t=36012
bao chi 	保持	c=1 d=1 t=5352
bao cun 	保存	c=12 d=1.00829 t=33239
bao cuo 	报错	c=22 d=1 t=34778
bao di 	保底	c=2 d=1 t=25673
bao fa 	爆发	c=1 d=1 t=23338
bao fei 	报废	c=1 d=1 t=1605
